kecamatan,jumlah_kk,Jumlah,frekuensi_total,total_volume(m3)
Gambir,35534,36,1,342.0
Sawah Besar,46902,9,5,235.0
Kemayoran,88755,31,11,692.96
Senen,44986,14,3,92.179
Cempaka Putih,34669,10,3,96.0
Menteng,30902,12,5,200.0
Tanah Abang,62305,30,12,460.5
Johar Baru,47090,4,4,82.0
Penjaringan,106904,5,6,309.0
Tanjung Priok,137133,17,1,795.835
Koja,112045,23,3,363.0
Cilincing,140693,62,12,733.0
Pademangan,57069,20,4,224.41
Kelapa Gading,47355,27,5,329.0
Cengkareng,182111,35,21,508.0
Grogol Petamburan,80219,33,5,580.0
Taman Sari,44605,46,1,520.33
Tambora,89608,19,7,390.506
Kebon Jeruk,113682,40,19,882.435
Kalideres,141259,41,11,519.2
Palmerah,73726,16,9,216.0
Kembangan,94656,28,15,557.0
Tebet,79847,11,18,9.0
Setiabudi,40181,17,9,227.0
Mampang Prapatan,52238,6,15,9.0
Pasar Minggu,107032,10,17,28.0
Kebayoran Lama,105766,44,13,9.0
Cilandak,72160,16,11,10.0
Kebayoran Baru,52127,15,10,9.0
Pancoran,57712,24,17,9.0
Jagakarsa,112724,26,8,50.0
Pesanggrahan,82441,27,10,39.0
Matraman,64501,29,4,211.0
Pulo Gadung,102933,31,4,453.0
Jatinegara,107856,23,8,402.0
Kramat Jati,101938,27,11,360.0
Pasar Rebo,72413,37,4,312.5
Cakung,182182,56,9,494.0
Duren Sawit,139957,42,11,529.0
Makasar,70225,45,6,466.0
Ciracas,100730,48,9,520.0
Cipayung,89286,28,12,233.0
