kabupaten_kota,kecamatan,jumlah_kk
JAKARTA PUSAT,GAMBIR,35534
JAKARTA PUSAT,SAWAH BESAR,46902
JAKARTA PUSAT,KEMAYORAN,88755
JAKARTA PUSAT,SENEN,44986
JAKARTA PUSAT,CEMPAKA PUTIH,34669
JAKARTA PUSAT,MENTENG,30902
JAKARTA PUSAT,TANAH ABANG,62305
JAKARTA PUSAT,JOHAR BARU,47090
JAKARTA UTARA,PENJARINGAN,106904
JAKARTA UTARA,TANJUNG PRIOK,137133
JAKARTA UTARA,KOJA,112045
JAKARTA UTARA,CILINCING,140693
JAKARTA UTARA,PADEMANGAN,57069
JAKARTA UTARA,KELAPA GADING,47355
JAKARTA BARAT,CENGKARENG,182111
JAKARTA BARAT,GROGOL PETAMBURAN,80219
JAKARTA BARAT,TAMAN SARI,44605
JAKARTA BARAT,TAMBORA,89608
JAKARTA BARAT,KEBON JERUK,113682
JAKARTA BARAT,KALI DERES,141259
JAKARTA BARAT,PAL MERAH,73726
JAKARTA BARAT,KEMBANGAN,94656
JAKARTA SELATAN,TEBET,79847
JAKARTA SELATAN,SETIA BUDI,40181
JAKARTA SELATAN,MAMPANG PRAPATAN,52238
JAKARTA SELATAN,PASAR MINGGU,107032
JAKARTA SELATAN,KEBAYORAN LAMA,105766
JAKARTA SELATAN,CILANDAK,72160
JAKARTA SELATAN,KEBAYORAN BARU,52127
JAKARTA SELATAN,PANCORAN,57712
JAKARTA SELATAN,JAGAKARSA,112724
JAKARTA SELATAN,PESANGGRAHAN,82441
JAKARTA TIMUR,MATRAMAN,64501
JAKARTA TIMUR,PULO GADUNG,102933
JAKARTA TIMUR,JATINEGARA,107856
JAKARTA TIMUR,KRAMATJATI,101938
JAKARTA TIMUR,PASAR REBO,72413
JAKARTA TIMUR,CAKUNG,182182
JAKARTA TIMUR,DUREN SAWIT,139957
JAKARTA TIMUR,MAKASAR,70225
JAKARTA TIMUR,CIRACAS,100730
JAKARTA TIMUR,CIPAYUNG,89286
