kecamatan,total_volume(m3)
Gambir,342.0
Johar Baru,82.0
Menteng,200.0
Tanah Abang,460.5
Cempaka Putih,96.0
Kemayoran,692.96
Sawah Besar,235.0
Senen,92.179
Kebon Jeruk,882.435
Grogol Petamburan,580.0
Palmerah,216.0
Cengkareng,508.0
Kalideres,519.2
Taman Sari,520.33
Tambora,390.506
Kembangan,557.0
Pesanggrahan,39.0
Setiabudi,227.0
Tebet,9.0
Jagakarsa,50.0
Pasar Minggu,28.0
Cilandak,10.0
Cakung,494.0
Cipayung,233.0
Ciracas,520.0
Duren Sawit,529.0
Jatinegara,402.0
Kramat Jati,360.0
Makasar,466.0
Matraman,211.0
Pasar Rebo,312.5
Pulo Gadung,453.0
Cilincing,733.0
Kelapa Gading,329.0
Koja,363.0
Pademangan,224.41
Tanjung Priok,795.835
Penjaringan,309.0
Kebayoran Baru,9.0
Kebayoran Lama,9.0
Mampang Prapatan,9.0
Pancoran,9.0
