kecamatan,volume_sampah_rata_rata_per_hari(m3)
Gambir,1
Gambir,8
Gambir,8
Gambir,6
Gambir,1
Gambir,2
Gambir,1
Gambir,6
Gambir ,4
Gambir ,14
Gambir ,2
Gambir ,6
Johar baru,18
Menteng,12
Menteng,3
Menteng,10
Menteng,5
Tanah Abang,7.5
Tanah Abang,8
Tanah Abang,16
Tanah Abang,16
Tanah Abang,6
,
Tanah Abang,6
Tanah Abang,30
Tanah Abang,10
Tanah Abang,10
Cempaka putih,24
Gambir,18
Gambir ,40
Gambir ,40
Johar Baru,40
Johar baru ,16
Kemayoran,58
Menteng,60
Sawah besar,60
Tanah Abang,45
Tanah Abang,30
Tanah Abang,20
Gambir,5
Gambir,12
Gambir,8
Gambir,6
Gambir,6
Gambir,4
Gambir,5
Gambir,14
Johar baru,8
Kemayoran,12
Kemayoran,12.05
Kemayoran,6.83
Kemayoran,10
Kemayoran,9.06
Menteng,12
Menteng,8
Menteng,12
Sawah besar,18
Sawah Besar,9
Senen,7
Tanah Abang,10
Tanah Abang,8
Tanah Abang,8
Tanah Abang,6
Tanah Abang,8
Cempaka putih,12
Cempaka putih,12
Cempaka Putih,4
Cempaka putih,3
Cempaka putih,9
Cempaka putih,8
Cempaka putih,8
Cempaka putih,8
Gambir,16
Gambir,4
Gambir,5
Gambir,12
Gambir ,6
Gambir ,4
Gambir ,20
Gambir ,6
Gambir ,12
Kemayoran,10
Kemayoran,10.78
Kemayoran,12.11
Kemayoran,14
Kemayoran,14.81
Kemayoran,17.86
Kemayoran,83.94
Kemayoran,56.86
Kemayoran,51.5
Kemayoran,39.3
Kemayoran,10
Kemayoran,12.52
Kemayoran,10
Kemayoran,10.15
Kemayoran,22.58
Kemayoran,17.18
Kemayoran,26.48
Kemayoran,15.39
Kemayoran,23.69
Kemayoran,18.83
Menteng,30
Menteng,8
Menteng,32
Menteng,8
Sawah Besar,25
Sawah Besar,15
Sawah Besar,4
Sawah Besar,6
Senen,0.04
Senen,10
Senen,0.57
Senen,25
Senen,0.283
Senen,9
Senen,12
Senen,0.283
Senen,24
Tanah Abang,15
Tanah Abang,10
Tanah Abang,8
Tanah Abang,20
Tanah Abang,10
Tanah Abang,16
Tanah Abang,6
Tanah Abang,10
Tanah Abang,60
Tanah Abang,20
Tanah Abang,6
Tanah Abang,15
Tanah Abang,20
Cempaka putih,8
Gambir,20
Gambir,20
Kemayoran,8.53
Kemayoran,16
Kemayoran,34.95
Kemayoran,23.56
Kemayoran,24
Sawah Besar,80
Sawah besar,18
Senen,0.283
Senen,0.24
Senen,1.24
Senen,2.24
Gambir,
Gambir,
Kebon Jeruk,19.26
Kebon Jeruk,24255
Kebon Jeruk,7.51
Kebon Jeruk,4.3
Kebon Jeruk,77625
Kebon Jeruk,7785
Kebon Jeruk,6.03
Kebon Jeruk,54765
Kebon Jeruk,16245
Kebon Jeruk,8.64
Kebon Jeruk,5.58
Kebon Jeruk,3825
Kebon Jeruk,4455
Kebon Jeruk,9.18
Kebon Jeruk,9.2
Kebon Jeruk,9.2
Kebon Jeruk,6.48
Kebon Jeruk,9
Kebon Jeruk,7.02
Kebon Jeruk,27135
Kebon Jeruk,8.65
Kebon Jeruk,6435
Kebon Jeruk,7875
Kebon Jeruk,5.4
,
Kebon Jeruk,
Kebon Jeruk,4.95
Kebon Jeruk,4.55
Kebon Jeruk,14.4
Kebon Jeruk,15435
Kebon Jeruk,5.04
Kebon Jeruk,5.04
Kebon Jeruk,5.04
Kebon Jeruk,6435
Kebon Jeruk,9.72
Kebon Jeruk,17145
Kebon Jeruk,13905
Kebon Jeruk,14625
Kebon Jeruk,3.24
Kebon Jeruk,47.52
Kebon Jeruk,3825
Grogol Petamburan,80
Grogol Petamburan,30
Grogol Petamburan,40
Grogol Petamburan,20
Grogol Petamburan,24
Grogol Petamburan,24
Grogol Petamburan,24
Grogol Petamburan,20
Grogol Petamburan,20
Grogol Petamburan,20
Grogol Petamburan,14
Grogol Petamburan,10
Grogol Petamburan,6
Grogol Petamburan,10
Grogol Petamburan,10
Grogol Petamburan,6
Grogol Petamburan,10
Grogol Petamburan,6
Grogol Petamburan,10
Grogol Petamburan,12
Grogol Petamburan,20
Grogol Petamburan,-
Grogol Petamburan,20
Grogol Petamburan,12
Grogol Petamburan,20
Grogol Petamburan,20
Grogol Petamburan,12
Grogol Petamburan,12
Grogol Petamburan,20
Grogol Petamburan,12
Grogol Petamburan,12
Grogol Petamburan,12
Grogol Petamburan,12
Palmerah,16
Palmerah,36
Palmerah,10
Palmerah,5
palmerah,32
palmerah,6
Palmerah,10
Palmerah,8
Palmerah ,12
Palmerah ,6
Palmerah,8
Palmerah,10
Palmerah ,30
Palmerah ,15
Palmerah ,6
Palmerah ,6
Cengkareng,7
Cengkareng,13
Cengkareng,10
Cengkareng,30
Cengkareng,13
Cengkareng,7
Cengkareng,7
Cengkareng,13
Cengkareng,22
Cengkareng,13
Cengkareng,10
Cengkareng,7
Cengkareng,25
Cengkareng,12
Cengkareng,12
Cengkareng,22
Cengkareng,15
Cengkareng,15
Cengkareng,15
Cengkareng,15
Cengkareng,11
Cengkareng,15
CENGKARENG,12
Cengkareng,15
Cengkareng,12
Cengkareng,12
Cengkareng,12
Cengkareng,38
Cengkareng,4
Cengkareng,5
Cengkareng,15
Cengkareng,19
Cengkareng,25
Cengkareng,12
Cengkareng,18
Kalideres,6
Kalideres,8
Kalideres,12
Kalideres,22
Kalideres,15
Kalideres,12
Kalideres,10
Kalideres,6
Kalideres,6
Kalideres,22
Kalideres,10
Kalideres,12
Kalideres,25
Kalideres,6
Kalideres,22
Kalideres,8
Kalideres,10
Kalideres,22
Kalideres,22
Kalideres,8
Kalideres,12
Kalideres,22
Kalideres,22
Kalideres,22
Kalideres,4
Kalideres,16.2
Kalideres,8
Kalideres,5
Kalideres,4
Kalideres,5
Kalideres,2
Kalideres,14
Kalideres,17
Kalideres,20
Kalideres,6
Kalideres,20
Kalideres,12
Kalideres,12
Kalideres,10
Kalideres,12
Kalideres,10
Tamansari,3
Tamansari,11
Tamansari,5
Tamansari,8
Tamansari,7
Tamansari,8
Tamansari,5
Tamansari,18
Tamansari,6
Tamansari,4
Tamansari,5
Tamansari,18
Tamansari,8
Tamansari ,4
Tamansari,4
Tamansari,10
Tamansari,4
Tamansari ,3
Tamansari ,7
Tamansari,6
Tamansari,10
Tamansari,5
Tamansari,18
Tamansari,3
Tamansari,5
Tamansari,5
Tamansari,5
Tamansari,10
Tamansari,4
Tamansari,6
Tamansari,4
Tamansari,5
Tamansari,2
Tamansari,3
Tamansari,5
Tamansari ,4
Tamansari ,10
Tamansari ,1
Tamansari ,5
Tamansari ,5
Tamansari,18
Tamansari,14
Tamansari,7
Tamansari,4
Tamansari,6.33
Tamansari,212
Tambora,11.9
Tambora,11.8
Tambora,28.33
Tambora,15.14
Tambora,20.33
Tambora,
Tambora,21.8
Tambora,23.9
Tambora,31.76
Tambora,28.22
Tambora,15.95
Tambora,14.99
Tambora,16.2
Tambora,16.98
Tambora,24.33
Tambora,30.59
Tambora,33.8
Tambora,17.15
Tambora,273.36
Kembangan,14
Kembangan,12
Kembangan,14
Kembangan,7
Kembangan,10
Kembangan,7
Kembangan,18
Kembangan,12
Kembangan,22
Kembangan,6
Kembangan,6
Kembangan,7
Kembangan,20
Kembangan,18
Kembangan,4
Kembangan,84
Kembangan,4
Kembangan,7
Kembangan,20
Kembangan,18
Kembangan,24
Kembangan,84
Kembangan,100
Kembangan,20
Kembangan,4
Kembangan,8
Kembangan,7
Kembangan,-
Cilandak,
Cilandak,
Jagakarsa,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Pesanggrahan,
Jagakarsa,
Jagakarsa,
Kebayoran Baru,
Kebayoran Baru,
Kebayoran Baru,
Kebayoran Baru,
Kebayoran Lama,
Kebayoran Lama,
Mampang Prapatan,
Mampang Prapatan,
Pancoran,
Pancoran,
Pancoran,
Pancoran,
Pancoran,
Pasar Minggu,
Pasar Minggu,
Pasar Minggu,
Pasar minggu ,
Pesanggrahan,
Pesanggrahan,
Tebet,
Tebet,
Cilandak,
Cilandak,
Cilandak,
Cilandak,
Cilandak,
Cilandak,
Cilandak,
Cilandak,
Jagakarsa,
Jagakarsa,
Jagakarsa,
Jagakarsa,
Jagakarsa,
Jagakarsa,
Jagakarsa,
Jagakarsa,
Jagakarsa,
Jagakarsa,
Jagakarsa,
Jagakarsa,
Kebayoran Baru,
Kebayoran Baru,
Kebayoran Baru,
Kebayoran Baru,
Kebayoran Baru,
Kebayoran Baru,
Kebayoran Baru,
Kebayoran Baru,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
Kebayoran Lama,
