kecamatan,frekuensi_total
Cilandak,11
Pasar Minggu,17
Jagakarsa,8
Pancoran,17
Tebet,18
Setiabudi,9
Mampang Prapatan,15
Kebayoran Lama,13
Pesanggrahan,10
Kebayoran Baru,10
Cipayung,12
Makasar,6
Kramat Jati,11
Duren Sawit,11
Jatinegara,8
Cakung,9
Ciracas,9
Pasar Rebo,4
Pulo Gadung,4
Matraman,4
Cilincing,12
Pademangan,4
Penjaringan ,6
Cengkareng,21
Kembangan,15
Kebon Jeruk,19
Tanjung Priok,1
Kelapa Gading,5
Koja,3
Penjaringan,6
Sawah Besar,5
Johar Baru,4
Kemayoran,11
Cempaka Putih,3
Menteng,5
Tanah Abang,12
Gambir,1
Senen,3
Kalideres,11
Palmerah,9
Grogol Petamburan,5
Taman Sari,1
Tambora,7
