Wilayah,Kecamatan,Kelurahan,Frekuensi
Jakarta Pusat,Sawah Besar,Mangga Dua Selatan,1
Jakarta Pusat,Johar Baru,Johar Baru,2
Jakarta Pusat,Kemayoran,Kebon Kosong,2
Jakarta Pusat,Cempaka Putih,Cempaka Putih Barat,1
Jakarta Pusat,Cempaka Putih,Cempaka Putih Timur,1
Jakarta Pusat,Cempaka Putih,Rawasari,1
Jakarta Pusat,Menteng,Menteng,2
Jakarta Pusat,Tanah Abang,Kebon Melati,2
Jakarta Pusat,Tanah Abang,Karet Tengsin,3
Jakarta Pusat,Tanah Abang,Bendungan Hilir,2
Jakarta Pusat,Kemayoran,Cempaka Baru,2
Jakarta Pusat,Kemayoran,Gunung Sahari Selatan,3
Jakarta Pusat,Sawah Besar,Pasar Baru,2
Jakarta Pusat,Gambir,Kebon Kelapa,1
Jakarta Pusat,Tanah Abang,Bendungan Hilir,2
Jakarta Pusat,Kemayoran,Serdang,1
Jakarta Pusat,Kemayoran,Kemayoran,1
Jakarta Pusat,Johar Baru,Tanah Tinggi,1
Jakarta Pusat,Senen,Kramat,2
Jakarta Pusat,Sawah Besar,Karang Anyar,1
Jakarta Pusat,Tanah Abang,Petamburan,3
Jakarta Pusat,Menteng,Kebon Sirih,3
Jakarta Pusat,Senen,Kenari,1
Jakarta Pusat,Kemayoran,Sumur Baru,2
Jakarta Pusat,Johar Baru,Kampung Rawa,1
Jakarta Pusat,Sawah Besar,Gunung Sahari Utara,1
