Wilayah,Kecamatan,Kelurahan,Frekuensi
Jakarta Utara,Cilincing,Rorotan,3
Jakarta Utara,Pademangan,Ancol,2
Jakarta Utara,Cilincing,Semper Timur,3
Jakarta Utara,Penjaringan ,Kapuk Muara,2
Jakarta Utara,Penjaringan ,Penjagalan,4
Jakarta Utara,Cengkareng,Kapuk,1
Jakarta Utara,Cengkareng,Kedaung Kali,3
Jakarta Utara,Kembangan,Kembangan Utara,3
Jakarta Utara,Kebon Jeruk,Kedoya Utara,3
Jakarta Utara,Kebon Jeruk,Duri Kepa,2
Jakarta Utara,Kebon Jeruk,Kedoya Selatan,2
Jakarta Utara,Kembangan,Kembangan Selatan,3
Jakarta Utara,Tanjung Priok,Kebon Bawang,1
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,1
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,2
Jakarta Utara,Kelapa Gading,Pegangsaan Dua,2
Jakarta Utara,Koja,Tugu Selatan,2
Jakarta Utara,Cilincing,Suka Pura,2
Jakarta Utara,Cilincing,Semper Barat,2
Jakarta Utara,Cilincing,Marunda,2
Jakarta Utara,Pademangan,Pademangan Timur,2
Jakarta Utara,Penjaringan,Penjaringan,3
Jakarta Utara,Penjaringan,Pluit,3
Jakarta Utara,Koja,Rawa Badak Selatan,1
