Wilayah,Kecamatan,Kelurahan,Frekuensi
Jakarta Timur,Cipayung,Ceger,2
Jakarta Timur,Cipayung,Bambu Apus,5
Jakarta Timur,Makasar,Cipinang Melayu,4
Jakarta Timur,Kramat Jati,Kramat Jati,1
Jakarta Timur,Makasar,Pinang Ranti,2
Jakarta Timur,Cipayung,Cilangkap,2
Jakarta Timur,Duren Sawit,Pondok Kopi,3
Jakarta Timur,Jatinegara,Cipinang Muara,4
Jakarta Timur,Cakung,Cakung Timur,2
Jakarta Timur,Kramat Jati,Kampung Tengah,3
Jakarta Timur,Ciracas,Ciracas,2
Jakarta Timur,Pasar Rebo,Cijantung,2
Jakarta Timur,Duren Sawit,Malaka Sari,2
Jakarta Timur,Jatinegara,Cipingan Cempedak,1
Jakarta Timur,Ciracas,Cibubur,3
Jakarta Timur,Cakung,Rawa Terate,4
Jakarta Timur,Pulo Gadung,Pisangan Timur,2
Jakarta Timur,Matraman,Palmeriam,2
Jakarta Timur,Pasar Rebo,Kalisari,2
Jakarta Timur,Duren Sawit,Klender,3
Jakarta Timur,Matraman,Utan Kayu Utara,2
Jakarta Timur,Cipayung,Lubang Buaya,3
Jakarta Timur,Duren Sawit,Pondok Kelapa,3
Jakarta Timur,Jatinegara,Rawa Bunga,2
Jakarta Timur,Cakung,Cakung Barat,3
Jakarta Timur,Kramat Jati,Bale Kambang,4
Jakarta Timur,Pulo Gadung,Jati,2
Jakarta Timur,Jatinegara,Cipingan Besar Utara,1
Jakarta Timur,Kramat Jati,Dukuh,3
Jakarta Timur,Ciracas,Rambutan,4
